Country,Continent,ManualOmit,Gender,Record,Athlete,Date,Meet,Place,cleantime,ht,time,wind,ratified,speed,pos_at_max_dist
Honduras,North America,,M,10.22 (+0.3 m/s),Rolando Palacios,18-Jul-08,,"Toluca, Mexico",10.22,FALSE,10.22,FALSE,FALSE,9.784735812,93.73776908
Hong Kong,Asia,,M,10.28 (+1.3 m/s),Tsui Chi Ho,16-May-10,53rd Festival of Sport,Hong Kong,10.28,FALSE,10.28,FALSE,FALSE,9.727626459,93.19066148
Hungary,Europe,,M,10.08 (+1.0 m/s),Roland NÃ©meth,9-Jun-99,,"Budapest, Hungary",10.08,FALSE,10.08,FALSE,FALSE,9.920634921,95.03968254
Iceland,Europe,,M,10.56 (+1.4 m/s),JÃ_n Arnar MagnÃºsson,31-May-97,Hypo-Meeting,"GÃ¶tzis, Austria",10.56,FALSE,10.56,FALSE,FALSE,9.46969697,90.71969697
India,Asia,,M,10.26 (+1.2 m/s),Amiya Kumar Mallick,28-Apr-16,National Federation Cup,"New Delhi, India",10.26,FALSE,10.26,FALSE,FALSE,9.746588694,93.37231969
Indonesia,Asia,,M,10.13,Yanis Raubaba,26-Jun-00,,"Sidoarjo, Indonesia",10.13,FALSE,10.13,FALSE,FALSE,9.871668312,94.57058243
Indonesia,Asia,Y,M,10.17 (+0.8 m/s),Suryo Agung Wibowo,13-Dec-09,Southeast Asian Games,"Vientiane, Laos",10.17,FALSE,10.17,FALSE,FALSE,9.832841691,94.1986234
Iran,Asia,,M,10.04 (+1.0 m/s),Hassan Taftian,23-Jun-16,Meeting de Atletismo Madrid,"Madrid, Spain",10.04,FALSE,10.04,FALSE,FALSE,9.960159363,95.41832669
Iraq,Asia,,M,10.65 (0.0 m/s),Hassanine Hasan Zubaiyen,3-Oct-11,,"Ta'if, Saudi Arabia",10.65,FALSE,10.65,FALSE,FALSE,9.389671362,89.95305164
Ireland,Europe,,M,10.18 (+1.9 m/s),Paul Hession,23-Jun-07,,"Vaasa, Finland",10.18,FALSE,10.18,FALSE,FALSE,9.823182711,94.10609037
Israel,Asia,,M,10.20 (âˆ’0.6 m/s),Aleksandr Porkhomovskiy,21-Aug-99,World Championships,"Seville, Spain",10.2,FALSE,10.2,FALSE,FALSE,9.803921569,93.92156863
Italy,Europe,,M,10.01 A (+0.9 m/s),Pietro Mennea,4-Sep-79,,"Mexico City, Mexico",10.01,FALSE,10.01,FALSE,FALSE,9.99000999,95.7042957
Ivory Coast,Africa,,M,9.99 (+1.1 m/s),Ben Youssef MeitÃ©,6-Jun-16,Josef OdloÅ_il Memorial,"Prague, Czech Republic",9.99,FALSE,9.99,FALSE,FALSE,10.01001001,95.8958959
Jamaica,North America,,M,9.58 (+0.9 m/s),Usain Bolt,16-Aug-09,World Championships,"Berlin, Germany",9.58,FALSE,9.58,FALSE,FALSE,10.43841336,100
